Формат имени чертежа: <task_id>_<класс>.svg
Пример: f2_560_5.svg = задача f2_560 (класс 5).
Суффикс после последнего "_" — это КЛАСС, не часть id.

task_id	класс	файл_чертежа
f2_1110	5	f2_1110_5.svg
f2_1111	5	f2_1111_5.svg
f2_1112	5	f2_1112_5.svg
f2_1113	5	f2_1113_5.svg
f2_1114	5	f2_1114_5.svg
f2_1115	5	f2_1115_5.svg
f2_1116	5	f2_1116_5.svg
f2_1117	5	(НЕТ ЧЕРТЕЖА)
f2_1118	5	f2_1118_5.svg
f2_1119	5	f2_1119_5.svg
f2_2380	5	f2_2380_5.svg
f2_2381	5	f2_2381_5.svg
f2_2382	5	f2_2382_5.svg
f2_2384	5	f2_2384_5.svg
f2_2385	5	f2_2385_5.svg
f2_2386	5	f2_2386_5.svg
f2_2387	5	f2_2387_5.svg
f2_2388	5	f2_2388_5.svg
f2_2389	5	f2_2389_5.svg
f2_2391	5	f2_2391_5.svg
f2_2392	5	f2_2392_5.svg
f2_2393	5	f2_2393_5.svg
f2_2394	5	f2_2394_5.svg
f2_2395	5	f2_2395_5.svg
f2_2396	5	f2_2396_5.svg
f2_2397	5	f2_2397_5.svg
f2_2398	5	f2_2398_5.svg
f2_2399	5	f2_2399_5.svg
f2_2400	5	f2_2400_5.svg
f2_2401	5	f2_2401_5.svg
f2_2402	5	f2_2402_5.svg
f2_2403	5	(НЕТ ЧЕРТЕЖА)
f2_2404	5	f2_2404_5.svg
f2_2405	5	f2_2405_5.svg
f2_2406	5	f2_2406_5.svg
f2_2407	5	f2_2407_5.svg
f2_2408	5	f2_2408_5.svg
f2_2410	5	f2_2410_5.svg
f2_2411	5	f2_2411_5.svg
f2_2412	5	f2_2412_5.svg
f2_2413	5	f2_2413_5.svg
f2_2414	5	f2_2414_5.svg
f2_2415	5	f2_2415_5.svg
f2_2416	5	f2_2416_5.svg
f2_2417	5	f2_2417_5.svg
f2_2418	5	f2_2418_5.svg
f2_2419	5	f2_2419_5.svg
f2_2420	5	f2_2420_5.svg
f2_2421	5	f2_2421_5.svg
f2_2422	5	f2_2422_5.svg
f2_2423	5	f2_2423_5.svg
f2_2424	5	f2_2424_5.svg
f2_2425	5	f2_2425_5.svg
f2_2426	5	f2_2426_5.svg
f2_2427	5	f2_2427_5.svg
f2_2428	5	f2_2428_5.svg
f2_2429	5	f2_2429_5.svg
f2_2430	5	f2_2430_5.svg
f2_2431	5	f2_2431_5.svg
f2_2432	5	f2_2432_5.svg
f2_2433	5	f2_2433_5.svg
f2_2434	5	f2_2434_5.svg
f2_2435	5	f2_2435_5.svg
f2_2436	5	f2_2436_5.svg
f2_2437	5	f2_2437_5.svg
f2_2438	5	f2_2438_5.svg
f2_2439	5	f2_2439_5.svg
f2_2440	5	f2_2440_5.svg
f2_2441	5	f2_2441_5.svg
f2_2442	5	f2_2442_5.svg
f2_2443	5	f2_2443_5.svg
f2_2444	5	f2_2444_5.svg
f2_2445	5	f2_2445_5.svg
f2_2446	5	f2_2446_5.svg
f2_2447	5	f2_2447_5.svg
f2_2448	5	f2_2448_5.svg
f2_2449	5	f2_2449_5.svg
f2_2463	5	f2_2463_5.svg
f2_2482	5	f2_2482_5.svg
f2_2485	5	(НЕТ ЧЕРТЕЖА)
f2_2486	5	(НЕТ ЧЕРТЕЖА)
f2_2487	5	(НЕТ ЧЕРТЕЖА)
f2_2488	5	(НЕТ ЧЕРТЕЖА)
f2_2489	5	f2_2489_5.svg
f2_2490	5	f2_2490_5.svg
f2_2491	5	f2_2491_5.svg
f2_2492	5	(НЕТ ЧЕРТЕЖА)
f2_2493	5	(НЕТ ЧЕРТЕЖА)
f2_2494	5	(НЕТ ЧЕРТЕЖА)
f2_2495	5	(НЕТ ЧЕРТЕЖА)
f2_2496	5	(НЕТ ЧЕРТЕЖА)
f2_2497	5	(НЕТ ЧЕРТЕЖА)
f2_2498	5	(НЕТ ЧЕРТЕЖА)
f2_2499	5	f2_2499_5.svg
f2_2500	5	f2_2500_5.svg
f2_2501	5	(НЕТ ЧЕРТЕЖА)
f2_2502	5	(НЕТ ЧЕРТЕЖА)
f2_2503	5	(НЕТ ЧЕРТЕЖА)
f2_2504	5	f2_2504_5.svg
f2_2505	5	(НЕТ ЧЕРТЕЖА)
f2_2506	5	(НЕТ ЧЕРТЕЖА)
f2_2507	5	(НЕТ ЧЕРТЕЖА)
f2_2508	5	f2_2508_5.svg
